22:22:10.586: <- 059904 18EA3A00 14F001
22:22:10.660: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:10.660: -> 130306 09FD023A FF03035400FAFFFF
22:22:10.660: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:10.661: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:10.675: -> 130306 09FD023A FF030356F4FAFFFF
22:22:10.676: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:10.687: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:10.691: -> 130306 09FD023A FF03034E00FAFFFF
22:22:10.696: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:10.698: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:10.707: -> 065305 1CFF193A 419F001702000000
22:22:10.713: -> 130306 09FD023A FF03033B00FAFFFF
22:22:10.713: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:10.714: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:10.728: -> 130306 09FD023A FF030394F4FAFFFF
22:22:10.735: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:10.744: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:10.750: -> 130306 09FD023A FF03032101FAFFFF
22:22:10.757: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:10.759: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:10.781: -> 130306 09FD023A FF0303F900FAFFFF
22:22:10.788: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:10.789: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:10.789: -> 130306 09FD023A FF030368F4FAFFFF
22:22:10.799: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:10.801: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:10.814: -> 065305 1CFF193A 419F001702000000
22:22:10.824: -> 130306 09FD023A FF03034EF4FAFFFF
22:22:10.825: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:10.825: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:10.836: -> 130306 09FD023A FF0303B7F4FAFFFF
22:22:10.842: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:10.918: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:10.920: -> 130306 09FD023A FF03035000FAFFFF
22:22:10.926: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:10.926: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:10.941: -> 130306 09FD023A FF03030CF5FAFFFF
22:22:10.947: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:10.959: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:10.965: -> 130306 09FD023A FF03039200FAFFFF
22:22:10.971: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:10.981: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:10.987: -> 065305 1CFF193A 419F001702000000
22:22:10.988: -> 130306 09FD023A FF03030C01FAFFFF
22:22:10.997: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:11.000: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:11.008: -> 130306 09FD023A FF030387F4FAFFFF
22:22:11.014: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:11.027: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:11.033: -> 130306 09FD023A FF030332F5FAFFFF
22:22:11.042: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:11.044: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:11.057: -> 130306 09FD023A FF03036000FAFFFF
22:22:11.081: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:11.112: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:11.118: -> 130306 09FD023A FF0303AF00FAFFFF
22:22:11.124: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:11.134: -> 126996 19F0143A B0045A6849533230202020205F57696E6420696E7374722E2020202020202020202020203131303020202020313230313030202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202030303231393523202020202020202020202020202020202020202020202020200101
22:22:11.145: -> 059392 18E8003A 01FFFFFFFF00EE01
22:22:11.162: -> 059392 18E8003A 01FFFFFFFF16F001
22:22:11.162: -> 126208 0DED003A 0280FF01010255FFFFFFFFFFFF
22:22:11.165: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:11.165: -> 065305 1CFF193A 419F001702000000
22:22:11.183: -> 130306 09FD023A FF0303DA00FAFFFF
22:22:11.183: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:11.201: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:11.201: -> 130306 09FD023A FF03037DF4FAFFFF
22:22:11.206: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:11.209: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:11.233: -> 130306 09FD023A FF030346F5FAFFFF
22:22:11.233: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:11.341: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:11.365: -> 130306 09FD023A FF03034FF5FAFFFF
22:22:11.417: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:11.503: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:11.559: -> 130306 09FD023A FF03038400FAFFFF
22:22:11.600: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:11.743: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:11.743: -> 065305 1CFF193A 419F001702000000
22:22:11.758: -> 130306 09FD023A FF03033201FAFFFF
22:22:11.806: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:11.902: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:11.950: -> 130306 09FD023A FF03034DF5FAFFFF
22:22:11.998: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:12.110: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:12.158: -> 130306 09FD023A FF03033AF4FAFFFF
22:22:12.206: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:12.302: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:12.350: -> 130306 09FD023A FF030373F4FAFFFF
22:22:12.398: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:12.510: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:12.558: -> 130306 09FD023A FF0303D7F4FAFFFF
22:22:12.606: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:12.702: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:12.734: -> 065305 1CFF193A 419F001702000000
22:22:12.750: -> 130306 09FD023A FF03036500FAFFFF
22:22:12.798: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:12.910: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:12.958: -> 130306 09FD023A FF0303CCF4FAFFFF
22:22:13.004: <- 126208 19ED3A00 0080FF01FFFFFFFFFFFF020187000304
22:22:13.006: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:13.039: -> 126208 0DED003A 0280FF01010255FFFFFFFFFFFF
22:22:13.102: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:13.150: -> 130306 09FD023A FF030344F5FAFFFF
22:22:13.198: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:13.310: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:13.358: -> 130306 09FD023A FF03031500FAFFFF
22:22:13.408: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:13.502: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:13.550: -> 130306 09FD023A FF0303D6F4FAFFFF
22:22:13.598: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:13.710: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:13.727: -> 065305 1CFF193A 419F001702000000
22:22:13.758: -> 130306 09FD023A FF03032600FAFFFF
22:22:13.806: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:13.902: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:13.950: -> 130306 09FD023A FF03032700FAFFFF
22:22:13.998: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:14.110: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:14.158: -> 130306 09FD023A FF030356F5FAFFFF
22:22:14.206: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:14.302: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:14.350: -> 130306 09FD023A FF03035500FAFFFF
22:22:14.398: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:14.510: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:14.558: -> 130306 09FD023A FF03031300FAFFFF
22:22:14.606: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:14.702: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:14.734: -> 065305 1CFF193A 419F001702000000
22:22:14.750: -> 130306 09FD023A FF0303DB00FAFFFF
22:22:14.798: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:14.910: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:14.960: -> 130306 09FD023A FF03039DF4FAFFFF
22:22:15.006: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:15.102: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:15.150: -> 130306 09FD023A FF0303E2F4FAFFFF
22:22:15.198: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:15.310: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:15.358: -> 130306 09FD023A FF03030301FAFFFF
22:22:15.406: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:15.503: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:15.550: -> 130306 09FD023A FF0303DBF4FAFFFF
22:22:15.598: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:15.710: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:15.726: -> 065305 1CFF193A 419F001702000000
22:22:15.758: -> 130306 09FD023A FF03030B01FAFFFF
22:22:15.806: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:15.902: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:15.950: -> 130306 09FD023A FF03034300FAFFFF
22:22:16.001: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:16.111: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:16.158: -> 130306 09FD023A FF03036800FAFFFF
22:22:16.206: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:16.302: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:16.350: -> 130306 09FD023A FF03033500FAFFFF
22:22:16.398: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:16.510: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:16.558: -> 130306 09FD023A FF0303F5F4FAFFFF
22:22:16.607: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:16.702: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:16.736: -> 065305 1CFF193A 419F001702000000
22:22:16.750: -> 130306 09FD023A FF0303AE00FAFFFF
22:22:16.798: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:16.910: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:16.957: -> 130306 09FD023A FF0303D9F4FAFFFF
22:22:17.005: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:17.100: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:17.149: -> 130306 09FD023A FF0303E600FAFFFF
22:22:17.197: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:17.309: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:17.357: -> 130306 09FD023A FF03038100FAFFFF
22:22:17.405: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:17.501: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:17.549: -> 130306 09FD023A FF0303EDF4FAFFFF
22:22:17.597: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:17.709: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:17.725: -> 065305 1CFF193A 419F001702000000
22:22:17.757: -> 130306 09FD023A FF03038A00FAFFFF
22:22:17.804: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:17.901: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:17.949: -> 130306 09FD023A FF03030700FAFFFF
22:22:17.997: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:18.109: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:18.157: -> 130306 09FD023A FF0303F7F4FAFFFF
22:22:18.205: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:18.301: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:18.348: -> 130306 09FD023A FF0303CE00FAFFFF
22:22:18.396: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:18.508: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:18.556: -> 130306 09FD023A FF030381F4FAFFFF
22:22:18.604: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:18.700: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:18.733: -> 065305 1CFF193A 419F001702000000
22:22:18.751: -> 130306 09FD023A FF0303C700FAFFFF
22:22:18.797: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:18.909: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:18.957: -> 130306 09FD023A FF03031B01FAFFFF
22:22:19.005: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:19.101: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:19.148: -> 130306 09FD023A FF030371F4FAFFFF
22:22:19.197: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:19.308: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:19.356: -> 130306 09FD023A FF03032700FAFFFF
22:22:19.404: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:19.504: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:19.548: -> 130306 09FD023A FF03033701FAFFFF
22:22:19.596: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:19.708: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:19.728: -> 065305 1CFF193A 419F001702000000
22:22:19.757: -> 130306 09FD023A FF0303BD00FAFFFF
22:22:19.805: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:19.902: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:19.948: -> 130306 09FD023A FF030332F4FAFFFF
22:22:19.997: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:20.111: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:20.159: -> 130306 09FD023A FF030376F4FAFFFF
22:22:20.247: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:20.301: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:20.385: -> 130306 09FD023A FF03031400FAFFFF
22:22:20.400: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:20.509: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:20.557: -> 130306 09FD023A FF030315F5FAFFFF
22:22:20.637: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:20.721: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:20.748: -> 065305 1CFF193A 419F001702000000
22:22:20.766: -> 130306 09FD023A FF0303FDF4FAFFFF
22:22:20.812: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:20.925: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:20.989: -> 130306 09FD023A FF03039600FAFFFF
22:22:21.004: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:21.133: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:21.163: -> 130306 09FD023A FF030330F5FAFFFF
22:22:21.196: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:21.324: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:21.381: -> 130306 09FD023A FF030359F4FAFFFF
22:22:21.407: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:21.500: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:21.550: -> 130306 09FD023A FF03032300FAFFFF
22:22:21.598: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:21.708: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:21.725: -> 065305 1CFF193A 419F001702000000
22:22:21.756: -> 130306 09FD023A FF03032FF5FAFFFF
22:22:21.804: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:21.906: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:21.968: -> 130306 09FD023A FF03034C00FAFFFF
22:22:21.996: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:22.108: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:22.158: -> 130306 09FD023A FF0303FFF4FAFFFF
22:22:22.204: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:22.300: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:22.348: -> 130306 09FD023A FF03035BF5FAFFFF
22:22:22.395: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:22.507: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:22.555: -> 130306 09FD023A FF03037C00FAFFFF
22:22:22.603: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:22.699: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:22.731: -> 065305 1CFF193A 419F001702000000
22:22:22.747: -> 130306 09FD023A FF03035FF5FAFFFF
22:22:22.795: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:22.907: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:22.955: -> 130306 09FD023A FF0303D500FAFFFF
22:22:23.036: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:23.133: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:23.152: -> 130306 09FD023A FF0303C600FAFFFF
22:22:23.195: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:23.307: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:23.355: -> 130306 09FD023A FF030353F5FAFFFF
22:22:23.404: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:23.499: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:23.547: -> 130306 09FD023A FF03035000FAFFFF
22:22:23.595: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:23.707: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:23.723: -> 065305 1CFF193A 419F001702000000
22:22:23.756: -> 130306 09FD023A FF030360F5FAFFFF
22:22:23.803: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:23.899: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:23.947: -> 130306 09FD023A FF03033A01FAFFFF
22:22:23.995: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:24.107: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:24.179: -> 130306 09FD023A FF03030600FAFFFF
22:22:24.222: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:24.301: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:24.347: -> 130306 09FD023A FF03030A01FAFFFF
22:22:24.395: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:24.508: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:24.555: -> 130306 09FD023A FF0303A200FAFFFF
22:22:24.603: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:24.699: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:24.735: -> 065305 1CFF193A 419F001702000000
22:22:24.747: -> 130306 09FD023A FF0303D5F4FAFFFF
22:22:24.797: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:24.907: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:24.955: -> 130306 09FD023A FF030364F4FAFFFF
22:22:25.003: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:25.099: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:25.147: -> 130306 09FD023A FF03034101FAFFFF
22:22:25.195: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:25.324: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:25.390: -> 130306 09FD023A FF0303EC00FAFFFF
22:22:25.408: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:25.499: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:25.547: -> 130306 09FD023A FF03033BF4FAFFFF
22:22:25.595: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:25.707: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:25.723: -> 065305 1CFF193A 419F001702000000
22:22:25.755: -> 130306 09FD023A FF030399F4FAFFFF
22:22:25.803: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:25.899: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:25.947: -> 130306 09FD023A FF0303DCF4FAFFFF
22:22:26.000: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:26.109: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:26.155: -> 130306 09FD023A FF0303D400FAFFFF
22:22:26.203: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:26.299: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:26.347: -> 130306 09FD023A FF03037EF4FAFFFF
22:22:26.395: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:26.508: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:26.560: -> 130306 09FD023A FF03034A00FAFFFF
22:22:26.607: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:26.699: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:26.731: -> 065305 1CFF193A 419F001702000000
22:22:26.747: -> 130306 09FD023A FF03034700FAFFFF
22:22:26.795: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:26.907: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:26.955: -> 130306 09FD023A FF03032100FAFFFF
22:22:27.003: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:27.099: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:27.147: -> 130306 09FD023A FF03032900FAFFFF
22:22:27.195: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:27.307: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:27.355: -> 130306 09FD023A FF03036300FAFFFF
22:22:27.403: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:27.499: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:27.547: -> 130306 09FD023A FF03033801FAFFFF
22:22:27.595: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:27.707: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:27.723: -> 065305 1CFF193A 419F001702000000
22:22:27.755: -> 130306 09FD023A FF03035DF5FAFFFF
22:22:27.803: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:27.898: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:27.946: -> 130306 09FD023A FF0303E6F4FAFFFF
22:22:27.994: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:28.106: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:28.154: -> 130306 09FD023A FF03032AF5FAFFFF
22:22:28.203: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:28.298: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:28.346: -> 130306 09FD023A FF03032A01FAFFFF
22:22:28.394: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:28.506: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:28.554: -> 130306 09FD023A FF030356F5FAFFFF
22:22:28.602: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:28.698: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:28.730: -> 065305 1CFF193A 419F001702000000
22:22:28.746: -> 130306 09FD023A FF030347F5FAFFFF
22:22:28.794: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:28.906: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:28.954: -> 130306 09FD023A FF0303A0F4FAFFFF
22:22:29.002: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:29.098: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:29.146: -> 130306 09FD023A FF030350F4FAFFFF
22:22:29.202: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:29.309: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:29.356: -> 130306 09FD023A FF030335F4FAFFFF
22:22:29.402: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:29.498: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:29.546: -> 130306 09FD023A FF03037EF4FAFFFF
22:22:29.594: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:29.706: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:29.722: -> 065305 1CFF193A 419F001702000000
22:22:29.754: -> 130306 09FD023A FF03038600FAFFFF
22:22:29.804: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:29.898: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:29.946: -> 130306 09FD023A FF0303CBF4FAFFFF
22:22:29.994: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:30.106: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:30.154: -> 130306 09FD023A FF03036D00FAFFFF
22:22:30.202: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:30.300: -> 127250 09F1123A FF0000FF7FFF7FFD
22:22:30.346: -> 130306 09FD023A FF03039F00FAFFFF
